"fraudulent","customer__customerEmail","customer__customerPhone","customer__customerDevice","customer__customerIPAddress","customer__customerBillingAddress","orders__orderId","orders__orderAmount","orders__orderState","orders__orderShippingAddress","paymentMethods__paymentMethodId","paymentMethods__paymentMethodRegistrationFailure","paymentMethods__paymentMethodType","paymentMethods__paymentMethodProvider","paymentMethods__paymentMethodIssuer","transactions__transactionId","transactions__orderId","transactions__paymentMethodId","transactions__transactionAmount","transactions__transactionFailed"
"","","","","","","pe8fke","30","failed","87265 Woods Square\nPort Heidimouth, LA 03208-8304","","","","","","7sfult79","mlsqph","yi3002uzs","18","False"
"","","","","","","","","","","","","","","","wmbgls2d","pe8fke","yi3002uzs","30","False"
"True","9es7t@u6n7x","518.037.7423x366","uqdiolg8krd34n4phs18","3617:fa2b:f31e:5b72:59a8:cb1a:d090:edb9","63978 Luis Ports\nYvonneville, NE 63736-2980","3b9vdf","16","fulfilled","63978 Luis Ports\nYvonneville, NE 63736-2980","wl0wgtfn2","False","card","Voyager","Bastion Banks","7m39em4p","3b9vdf","wl0wgtfn2","16","True"
"","","","","","","","","","","","","","","","yz35aas7","3b9vdf","wl0wgtfn2","16","False"
"False","ypruitt@hotmail.com","804-331-7488x82163","dmqmkcujj3k31g0kr9b4","224.3.233.30","437 Jean Well\nAndrewville, FM 13796","wc0qut","30","fulfilled","437 Jean Well\nAndrewville, FM 13796","75d0y0a6m","False","paypal","JCB 15 digit","Solace Banks","h7huu8lz","wc0qut","vwdxqd00s","30","False"
"","","","","","","8o9ef7","38","fulfilled","437 Jean Well\nAndrewville, FM 13796","vwdxqd00s","False","card","JCB 15 digit","Fountain Financial Inc.","t55qhcm8","8o9ef7","vwdxqd00s","38","False"
"","","","","","","5pwn81","49","fulfilled","437 Jean Well\nAndrewville, FM 13796","r4u0mojn6","False","card","Maestro","Bastion Banks","bzubcvnz","5pwn81","vwdxqd00s","49","False"
"","","","","","","l72b2v","29","fulfilled","5664 Kristy Points\nMeyerfort, SD 37067","","","","","","qyw32m2v","l72b2v","vwdxqd00s","29","False"
"False","zbennett@frazier.com","995.449.5115x498","zxdd5co6f5pylq9it4x0","e03d:db6e:f5ca:b9cd:d64f:80fe:6177:26e1","89773 Peterson Course Suite 625\nEast Amandaborough, VA 47613-8661","","","","","","","","","","","","","",""
"False","aweaver@yahoo.com","565-347-7032","lr2c0lancqoqkosnyqnj","2432:d9dc:c6ad:ef9c:c5df:b7bf:1b48:4444","85993 Heather Drive\nEast Erinhaven, KY 61109","lly25f","20","fulfilled","85993 Heather Drive\nEast Erinhaven, KY 61109","1ov4r2jr5","False","card","VISA 16 digit","Rose Bancshares","0exoy858","lly25f","1ov4r2jr5","20","False"
"False","richard05@hanson-key.org","(428)021-0009","wr3wy5qmkd8qqwljulll","158.72.242.154","432 Margaret Isle\nWest Kevinbury, SC 42235","pkajko","40","fulfilled","432 Margaret Isle\nWest Kevinbury, SC 42235","ip4pd9xyu","False","card","Discover","Rose Bancshares","j3vtxcy9","pkajko","ip4pd9xyu","40","False"
"False","paul86@hotmail.com","986-625-5606","iyac5n05j0sxp2b0cnnc","aae7:6c39:b70:7025:d60d:bab3:6547:4adc","546 Kim Walk\nSouth Jacquelinefurt, NM 01696","4w6x1p","44","fulfilled","178 Palmer Motorway\nEast Anthony, HI 06543-3483","j6vt0l11e","False","apple pay","JCB 16 digit","Her Majesty Trust","kuqkfynb","4w6x1p","j6vt0l11e","44","True"
"","","","","","","","","","","","","","","","rk0m8roe","4w6x1p","j6vt0l11e","44","False"
"False","xwang@white.com","592.309.4963x427","1qj6z7funp3l28ym8trh","7891:9f08:9ac6:c816:7c58:26cd:ff2c:7ddc","139 Ramirez Island Suite 885\nNew Joan, MT 69993","","","","","","","","","","","","","",""
"False","mark02@young.com","(833)029-3127","iuaio7yeshnjtrqn6qc5","107.82.81.240","229 Michelle Union Suite 692\nLake Sarahport, AS 45607","gkwd8g","10","fulfilled","229 Michelle Union Suite 692\nLake Sarahport, AS 45607","xci7mpl5h","False","paypal","VISA 16 digit","Bastion Banks","rxcql0ld","gkwd8g","w3c453rd8","10","False"
"","","","","","","pypyvi","34","fulfilled","229 Michelle Union Suite 692\nLake Sarahport, AS 45607","w3c453rd8","False","card","Diners Club / Carte Blanche","His Majesty Bank Corp.","w2tqx0ln","pypyvi","xci7mpl5h","34","True"
"","","","","","","fq1ooh","39","fulfilled","229 Michelle Union Suite 692\nLake Sarahport, AS 45607","","","","","","aq1qv1td","pypyvi","xci7mpl5h","34","False"
"","","","","","","qb4l0y","49","fulfilled","229 Michelle Union Suite 692\nLake Sarahport, AS 45607","","","","","","xu7b9kcr","fq1ooh","w3c453rd8","39","False"
"","","","","","","","","","","","","","","","fn1847f0","qb4l0y","xci7mpl5h","49","False"
"True","johnlowery@gmail.com","737-377-9701x577","jz66ap43id2y35ivfqa5","6c21:ac1d:2089:68fa:abb7:8c00:525f:6588","08238 Kyle Squares Suite 893\nMillermouth, IN 27535-5397","","","","","vogv964fe","False","card","Diners Club / Carte Blanche","Fountain Financial Inc.","","","","",""
"False","smithtiffany@davis-perkins.com","384.291.0196x66623","czrv4aped9e2ndgv89b5","141.224.72.49","1862 Melanie Islands Apt. 152\nNorth Williamhaven, IA 08202-2571","","","","","31hzim431","False","card","VISA 16 digit","Solace Banks","","","","",""
"False","brandon58@conner.com","726-715-7429x06218","qywyyrk5r87k21ij3p62","225.62.150.241","USS Barr\nFPO AE 16052-3851","aj6j5x","29","fulfilled","USS Barr\nFPO AE 16052-3851","r0735q7at","False","card","JCB 15 digit","Bastion Banks","bczklypo","aj6j5x","r0735q7at","29","False"
"","","","","","","gf3kf8","25","fulfilled","USS Barr\nFPO AE 16052-3851","","","","","","p237hz8y","gf3kf8","r0735q7at","25","True"
"","","","","","","v1sq5r","14","fulfilled","USS Barr\nFPO AE 16052-3851","","","","","","75p8ugk5","gf3kf8","r0735q7at","25","False"
"","","","","","","","","","","","","","","","fo3oz01r","v1sq5r","r0735q7at","14","True"
"","","","","","","","","","","","","","","","w3jgb8qt","v1sq5r","r0735q7at","14","True"
"","","","","","","","","","","","","","","","e6vl0gpx","v1sq5r","r0735q7at","14","True"
"","","","","","","","","","","","","","","","lesb2kxu","v1sq5r","r0735q7at","14","True"
"","","","","","","","","","","","","","","","fqqaqp6q","v1sq5r","r0735q7at","14","False"
"False","knichols@gmail.com","(664)946-1521x6991","w0ykvw2nrcc03lx6logd","43.108.40.6","1742 Regina Turnpike Suite 295\nWest Austin, DE 93022","","","","","oq6l2tau2","False","card","Discover","Rose Bancshares","","","","",""
"False","gsimpson@cox.org","+23(4)1428642270","nf0i429dh2h2fmf287ec","20.34.8.37","32514 Freeman Court\nPort Waltermouth, SC 34012","","","","","","","","","","","","","",""
"True","johnlowery@gmail.com","+16(4)9016414340","cdx178qymd6vy77nm4x3","222.79.159.140","77711 Pamela Ridge\nNew Kayla, IL 27182","kr2w5f","32","failed","77711 Pamela Ridge\nNew Kayla, IL 27182","tfff8yjzo","False","card","American Express","Rose Bancshares","i25dewqi","kr2w5f","tfff8yjzo","32","True"
"","","","","","","4x7vmr","21","fulfilled","77711 Pamela Ridge\nNew Kayla, IL 27182","","","","","","7sdl8reg","kr2w5f","tfff8yjzo","32","False"
"","","","","","","","","","","","","","","","bpvdqkr7","4x7vmr","tfff8yjzo","21","False"
"True","jamescampbell@randall-pacheco.biz","599-142-6783","eaul63h9guyvwuymfn3z","45.203.99.249","29408 Lisa Lock\nPort Jennifer, LA 26501-7040","typkze","10","fulfilled","29408 Lisa Lock\nPort Jennifer, LA 26501-7040","suusse06u","False","card","VISA 13 digit","His Majesty Bank Corp.","nq16vew4","typkze","c4lqxg7tb","10","True"
"","","","","","","gar4v9","11","fulfilled","306 Dominique Burg\nLake Joshua, MH 57647-0315","c4lqxg7tb","False","card","Discover","Bulwark Trust Corp.","r40gi7kt","typkze","c4lqxg7tb","10","True"
"","","","","","","ougwoy","47","fulfilled","95641 Steven Expressway\nGordonborough, GU 44582-9207","","","","","","n53a4z93","typkze","suusse06u","10","False"
"","","","","","","","","","","","","","","","so2vwp1v","gar4v9","c4lqxg7tb","11","True"
"","","","","","","","","","","","","","","","ulr6tqlz","gar4v9","c4lqxg7tb","11","False"
"","","","","","","","","","","","","","","","vpzfovrf","ougwoy","c4lqxg7tb","47","True"
"","","","","","","","","","","","","","","","8hc4ygjd","ougwoy","suusse06u","47","False"
"False","johnsonjennifer@yahoo.com","1-670-969-5075x27186","yqt388sj7f142rohzukc","172.191.99.44","6395 Christopher Lakes Suite 062\nSouth Dana, ID 74510-4952","","","","","","","","","","","","","",""
"False","briana34@gmail.com","952-580-9304x38838","s7dtery2p2f00b7qnwvv","f793:509a:b82a:f556:b199:c649:8ab3:3f0a","4264 Traci Mountains Suite 245\nEast Trevor, NC 37274-0975","brzg7e","50","fulfilled","4264 Traci Mountains Suite 245\nEast Trevor, NC 37274-0975","qkhsgv41q","False","paypal","Maestro","Vertex Bancorp","2gd1xtoz","brzg7e","qkhsgv41q","50","False"
"","","","","","","tex5rp","39","fulfilled","4264 Traci Mountains Suite 245\nEast Trevor, NC 37274-0975","h2awlopgd","False","apple pay","JCB 16 digit","Bulwark Trust Corp.","z292pjgq","tex5rp","h2awlopgd","39","False"
"","","","","","","o2xkjm","18","fulfilled","2282 Diaz Trafficway\nWest Alan, PW 51681","","","","","","ji0xd4so","o2xkjm","qkhsgv41q","18","True"
"","","","","","","z11a6h","29","fulfilled","4264 Traci Mountains Suite 245\nEast Trevor, NC 37274-0975","","","","","","0xj8t0jz","o2xkjm","qkhsgv41q","18","False"
"","","","","","","8id3sg","41","pending","4264 Traci Mountains Suite 245\nEast Trevor, NC 37274-0975","","","","","","7o924iwu","z11a6h","h2awlopgd","29","False"
"","","","","","","","","","","","","","","","4bce098o","8id3sg","qkhsgv41q","41","True"
"","","","","","","","","","","","","","","","zrro6kto","8id3sg","qkhsgv41q","41","False"
"False","jonesandrea@gray.biz","+49(5)7226212913","szchbklzmzi87sa0oyz0","120.215.98.17","33328 Mendez Shore Apt. 328\nNorth Miguelville, MT 05102-0874","sqfq9g","45","fulfilled","33328 Mendez Shore Apt. 328\nNorth Miguelville, MT 05102-0874","gxjchyxfz","False","paypal","JCB 16 digit","Citizens First Banks","jjnhdzhb","sqfq9g","gxjchyxfz","45","False"
"","","","","","","lco8r4","22","fulfilled","214 Rachel Branch\nEast Gabriela, NJ 89474-5585","","","","","","cmlxddnq","lco8r4","gxjchyxfz","22","False"
"","","","","","","d1mfum","29","fulfilled","369 Moreno Lock\nRaytown, MS 71921-2845","","","","","","kyzfj2ta","d1mfum","gxjchyxfz","29","False"
"True","kristina41@gmail.com","1-836-334-7673","1a88bvu79nax6873na08","35.23.150.176","5769 Ronald Brook Suite 963\nLake Jasonfurt, MS 45350-9530","d6sbjc","51","fulfilled","5769 Ronald Brook Suite 963\nLake Jasonfurt, MS 45350-9530","cm5dp45zh","False","apple pay","JCB 16 digit","Citizens First Banks","o022s00u","d6sbjc","bkopk7uzs","51","True"
"","","","","","","izroq8","36","fulfilled","298 Stephanie Passage\nOrtizhaven, WY 41473","bwj2e7i76","False","card","Mastercard","Vertex Bancorp","w7ludkyz","d6sbjc","bkopk7uzs","51","False"
"","","","","","","9spaf7","60","fulfilled","USCGC Smith\nFPO AE 33964-3887","bkopk7uzs","False","card","VISA 16 digit","Rose Bancshares","ohw0eoga","izroq8","bwj2e7i76","36","False"
"","","","","","","8f7mcp","52","fulfilled","2079 Woods Unions\nBrandibury, AR 18360-1093","","","","","","uusnh2tp","9spaf7","bwj2e7i76","60","False"
"","","","","","","xwtnot","68","fulfilled","USS Medina\nFPO AA 42900","","","","","","0niv9sm2","8f7mcp","bwj2e7i76","52","False"
"","","","","","","iaousp","51","fulfilled","5769 Ronald Brook Suite 963\nLake Jasonfurt, MS 45350-9530","","","","","","by1ob38p","xwtnot","bwj2e7i76","68","False"
"","","","","","","","","","","","","","","","h96uhgzk","iaousp","cm5dp45zh","51","False"
"False","whodges@yahoo.com","791-857-3838x784","c0zsrf0sna9bkdhncxk3","26a2:b5fa:e76c:cf72:577b:ea46:3b20:16b0","839 Heather Mall Suite 257\nLake Robert, AL 60583-4065","","","","","7fra4wcw5","False","apple pay","VISA 16 digit","Her Majesty Trust","","","","",""
"False","nolanalec@yahoo.com","+00(2)1650962747","9ytcxpehi6xw76g5qhhl","b298:90c6:ce22:e0aa:5906:4ec3:d8c:a455","6790 Cassandra Loop\nDavidton, ME 00036","48pqsb","31","fulfilled","6790 Cassandra Loop\nDavidton, ME 00036","elpmqdsaw","False","card","American Express","Solace Banks","uzxl7bjx","48pqsb","k5n97dkql","31","False"
"","","","","","","tprxxg","36","fulfilled","6790 Cassandra Loop\nDavidton, ME 00036","7am579wop","False","card","Maestro","Solace Banks","6vdayna1","tprxxg","7am579wop","36","False"
"","","","","","","3j539y","42","fulfilled","32795 Gregory Tunnel Apt. 420\nPatrickton, OR 99089-6477","k5n97dkql","False","card","JCB 15 digit","Citizens First Banks","3rc2nhqf","3j539y","7am579wop","42","False"
"","","","","","","q4rqn8","35","fulfilled","6790 Cassandra Loop\nDavidton, ME 00036","","","","","","83llpfdj","q4rqn8","7am579wop","35","True"
"","","","","","","","","","","","","","","","rhgbdlfu","q4rqn8","7am579wop","35","False"
"False","spencer77@reid.com","423.526.5373","7318fn930cyfirv504xp","8.13.234.51","9811 Allison Harbors\nPerryberg, SC 57620-9104","phfc5z","17","fulfilled","966 Jones Forks Suite 546\nNorth Jesusshire, MI 55779-7683","kvc38kle1","False","card","JCB 16 digit","Vertex Bancorp","obe4ky4l","phfc5z","kvc38kle1","17","True"
"","","","","","","7g535w","33","failed","363 Michael Villages\nKristineburgh, NM 59002","50y984nk3","False","card","Diners Club / Carte Blanche","Vertex Bancorp","h0heqcju","phfc5z","kvc38kle1","17","True"
"","","","","","","","","","","bv4rt0waw","False","card","JCB 16 digit","Citizens First Banks","9udno8l3","phfc5z","bv4rt0waw","17","True"
"","","","","","","","","","","","","","","","9pqd6ebh","phfc5z","bv4rt0waw","17","False"
"","","","","","","","","","","","","","","","62dks9yz","7g535w","bv4rt0waw","33","False"
"False","zthomas@gmail.com","731.957.1783x62296","7p70n6q6zbgfhiqqqsxy","ad37:7b02:70fb:4b74:bc77:cd13:1bed:2483","01494 Anderson Corners Suite 314\nDaviston, SC 85230","","","","","","","","","","","","","",""
"True","uguzman@yahoo.com","(017)893-9493","at92v1f1r3shwbeujiap","151.245.182.84","9596 Christian Bridge\nWest Nicholasbury, OR 90106-9840","32rax6","353","fulfilled","9596 Christian Bridge\nWest Nicholasbury, OR 90106-9840","73a2hlmnm","False","card","VISA 16 digit","Her Majesty Trust","ftiso5mr","32rax6","73a2hlmnm","353","True"
"False","ssmith@levine-harmon.biz","266-228-3021x90360","7u2y3wsyj7ehzfao86md","13ff:5a93:bc34:e190:5e4b:ac80:2e2d:6217","37549 Crawford Forest\nChristopherside, KY 96656","9ekv8b","17","fulfilled","58408 Stacy Grove\nPort Gregory, MD 11557-3871","k5xriv8co","True","card","Maestro","His Majesty Bank Corp.","3f97a9jm","9ekv8b","was3bq380","17","False"
"","","","","","","l4l6tx","24","fulfilled","37549 Crawford Forest\nChristopherside, KY 96656","was3bq380","False","card","Voyager","Fountain Financial Inc.","qblbbsr6","l4l6tx","k5xriv8co","24","True"
"","","","","","","y4a3bt","35","pending","37549 Crawford Forest\nChristopherside, KY 96656","","","","","","uriznwe8","l4l6tx","was3bq380","24","False"
"","","","","","","xtmpum","32","fulfilled","37549 Crawford Forest\nChristopherside, KY 96656","","","","","","wpumno5r","y4a3bt","k5xriv8co","35","False"
"","","","","","","y50p63","36","fulfilled","37549 Crawford Forest\nChristopherside, KY 96656","","","","","","th1lhv8t","xtmpum","k5xriv8co","32","False"
"","","","","","","","","","","","","","","","cyob52xd","y50p63","k5xriv8co","36","True"
"","","","","","","","","","","","","","","","6qb7pwgb","y50p63","was3bq380","36","True"
"","","","","","","","","","","","","","","","fu5bnafm","y50p63","k5xriv8co","36","True"
"True","feliciabrown@gmail.com","(226)129-2677","z7xkuohhjbtiqs6q9rk9","115.137.171.103","49680 Brian Squares Apt. 122\nPort Walterburgh, MH 02766-0708","jp7kqk","41","fulfilled","1089 Christopher Neck Suite 097\nScottmouth, GA 02587-6233","0ma0yi3jg","False","card","JCB 16 digit","Her Majesty Trust","55tz7m12","jp7kqk","0ma0yi3jg","41","False"
"False","dianacook@gmail.com","764-447-7031","ntl63nfd4sevm4xxvsyq","710e:d9d9:1ef0:cdc:ed53:10d:2c7e:667e","938 Miranda Mountain\nAlexandratown, AS 69640","23cqz5","19","failed","226 Steven Course\nNew Jaime, VI 82101-3297","yu71nlc3z","False","card","JCB 16 digit","Vertex Bancorp","xmzhdlhj","23cqz5","yu71nlc3z","19","True"
"","","","","","","gxeyl2","20","fulfilled","938 Miranda Mountain\nAlexandratown, AS 69640","","","","","","mivfzxfz","23cqz5","yu71nlc3z","19","False"
"","","","","","","","","","","","","","","","6nfh2k77","gxeyl2","yu71nlc3z","20","False"
"False","cookbenjamin@hotmail.com","(287)694-5221x45370","8fapmchbpcdesx94tnmb","82.3.174.184","585 Veronica Loop Suite 856\nEast Rebeccachester, AZ 55756","zllwa6","37","fulfilled","585 Veronica Loop Suite 856\nEast Rebeccachester, AZ 55756","wejtuspvr","False","card","Mastercard","Grand Credit Corporation","odva1tei","zllwa6","wejtuspvr","37","True"
"","","","","","","znlrfn","14","fulfilled","5936 Logan Forge Apt. 622\nNorth Kevinshire, NV 15030-8421","","","","","","7p1c81gx","zllwa6","wejtuspvr","37","True"
"","","","","","","rl4qc1","49","fulfilled","585 Veronica Loop Suite 856\nEast Rebeccachester, AZ 55756","","","","","","wxb335un","zllwa6","wejtuspvr","37","False"
"","","","","","","6s4aem","43","fulfilled","585 Veronica Loop Suite 856\nEast Rebeccachester, AZ 55756","","","","","","hyknr1f4","znlrfn","wejtuspvr","14","False"
"","","","","","","","","","","","","","","","1qfz6ocd","rl4qc1","wejtuspvr","49","False"
"","","","","","","","","","","","","","","","mctz3wea","6s4aem","wejtuspvr","43","False"
"True","joserowland@jones.com","698-954-1805","znzp16ko7mtwjfxgrle4","152.211.139.83","1292 Tricia Key Suite 062\nMarthabury, KS 40445","u5a84z","31","fulfilled","702 Richard Dale Suite 484\nNew Paula, CT 56858-8909","1dsku2c3p","True","card","VISA 13 digit","Citizens First Banks","yjfirs14","u5a84z","r2v5bgqxf","31","False"
"","","","","","","809d5o","46","fulfilled","1292 Tricia Key Suite 062\nMarthabury, KS 40445","f3l73qqm9","False","card","American Express","Grand Credit Corporation","hrzejsy4","809d5o","f3l73qqm9","46","False"
"","","","","","","734b9q","16","fulfilled","1292 Tricia Key Suite 062\nMarthabury, KS 40445","jxt48tbkt","False","card","Maestro","Fountain Financial Inc.","6xtouwt2","734b9q","f3l73qqm9","16","False"
"","","","","","","02x0ec","15","fulfilled","15587 Rios Center\nEast Dawn, AR 22196","r2v5bgqxf","False","card","VISA 16 digit","Her Majesty Trust","u2mtko2f","02x0ec","yym5xo9qi","15","False"
"","","","","","","","","","","yym5xo9qi","False","card","Diners Club / Carte Blanche","Citizens First Banks","","","","",""
"","","","","","","","","","","kz7cixrya","False","card","JCB 16 digit","His Majesty Bank Corp.","","","","",""
"False","pattersonphilip@yahoo.com","(425)200-2228","9gyjtadv75scvq723pow","d1ca:57d4:7c58:8cd4:e100:99d8:3fd6:92f9","258 Teresa Crescent Apt. 167\nRodriguezmouth, AS 13930","wg4ai4","18","failed","PSC 6562, Box 6787\nAPO AE 05203","ujky4teqc","False","card","American Express","Grand Credit Corporation","61k4wiml","wg4ai4","6954oj7dx","18","False"
"","","","","","","dkwhx7","16","fulfilled","258 Teresa Crescent Apt. 167\nRodriguezmouth, AS 13930","6954oj7dx","False","paypal","JCB 16 digit","His Majesty Bank Corp.","tuyrl147","dkwhx7","6954oj7dx","16","False"
"","","","","","","5ref00","39","pending","PSC 0481, Box 8369\nAPO AP 33323-5409","","","","","","cattpxq6","5ref00","6954oj7dx","39","False"
"","","","","","","4clclj","37","fulfilled","968 Lisa Fall\nLake Arianashire, DC 66544-2874","","","","","","kn2hi7mn","4clclj","ujky4teqc","37","False"
"True","hj8maoy@1jcfcxs7","03115487766","e3prs7zh4ueieiwlkud7","769a:4538:2bd2:8213:85ed:ca71:1ea3:dcd9","872 Ashley Island Apt. 254\nEast Anthonytown, LA 10352","qfteet","12","failed","872 Ashley Island Apt. 254\nEast Anthonytown, LA 10352","7b7gmp8al","False","card","VISA 16 digit","Citizens First Banks","ixardum8","qfteet","7b7gmp8al","12","False"
"","","","","","","8a35qi","48","failed","872 Ashley Island Apt. 254\nEast Anthonytown, LA 10352","pr3xs6kdy","False","paypal","VISA 13 digit","Fountain Financial Inc.","01qy7cu0","8a35qi","7b7gmp8al","48","True"
"","","","","","","sw4bii","41","fulfilled","872 Ashley Island Apt. 254\nEast Anthonytown, LA 10352","","","","","","b2llml7i","8a35qi","7b7gmp8al","48","False"
"","","","","","","5xh1fc","29","fulfilled","872 Ashley Island Apt. 254\nEast Anthonytown, LA 10352","","","","","","cwqkwqg6","sw4bii","7b7gmp8al","41","False"
"","","","","","","m6pkzg","22","fulfilled","872 Ashley Island Apt. 254\nEast Anthonytown, LA 10352","","","","","","ao9gm8ru","5xh1fc","7b7gmp8al","29","False"
"","","","","","","","","","","","","","","","eyudgsxk","m6pkzg","pr3xs6kdy","22","False"
"False","finleybrianna@yahoo.com","255-915-9059x3369","m97tf30d9wpav4njjfbm","233.79.136.157","445 Nicole Hollow\nCarterton, FM 48532","np9ggp","44","fulfilled","445 Nicole Hollow\nCarterton, FM 48532","l1qil6tjh","False","card","American Express","Bastion Banks","gec3i717","np9ggp","l1qil6tjh","44","False"
"","","","","","","8zs126","43","failed","445 Nicole Hollow\nCarterton, FM 48532","","","","","","e9cfoezm","8zs126","l1qil6tjh","43","True"
"","","","","","","9416gf","41","fulfilled","445 Nicole Hollow\nCarterton, FM 48532","","","","","","vln8ddqj","8zs126","l1qil6tjh","43","True"
"","","","","","","6avmqe","16","fulfilled","445 Nicole Hollow\nCarterton, FM 48532","","","","","","20fwt83g","9416gf","l1qil6tjh","41","False"
"","","","","","","","","","","","","","","","ybvvmxmd","6avmqe","l1qil6tjh","16","True"
"","","","","","","","","","","","","","","","203fxp7y","6avmqe","l1qil6tjh","16","True"
"","","","","","","","","","","","","","","","7sajyzm4","6avmqe","l1qil6tjh","16","False"
"True","suzanne21@gmail.com","1-043-962-2576","ewc3gyloi1ing9o64jpt","4834:7ccb:15de:9123:5658:42c3:cc50:79f","398 Latasha Canyon\nKathyland, LA 36717-2161","l4hhqu","37","failed","398 Latasha Canyon\nKathyland, LA 36717-2161","5i61lz4t2","False","bitcoin","Discover","B","hpcgclef","l4hhqu","6ke43eyg9","37","False"
"","","","","","","z2x7az","31","fulfilled","94922 Robert Park\nKellyhaven, OK 36922-3583","6ke43eyg9","False","card","Voyager","r","vdwjlp18","z2x7az","6ke43eyg9","31","True"
"","","","","","","910715","24","fulfilled","398 Latasha Canyon\nKathyland, LA 36717-2161","","","","","","5mub2d51","z2x7az","6ke43eyg9","31","False"
"","","","","","","","","","","","","","","","jreh2bkw","910715","5i61lz4t2","24","True"
"","","","","","","","","","","","","","","","95qmlxm7","910715","5i61lz4t2","24","False"
"True","johnlowery@gmail.com","04712252182","311kdz4c1210iixltk2j","42b3:df19:86fe:abd9:dafe:f6c1:eb76:c72","11704 Andrew Villages Apt. 035\nJamesfurt, OR 49817-0470","3ougge","11","fulfilled","11704 Andrew Villages Apt. 035\nJamesfurt, OR 49817-0470","opyep1aoj","False","card","VISA 16 digit","Rose Bancshares","qenelvvf","3ougge","opyep1aoj","11","True"
"","","","","","","6p7c0x","42","fulfilled","5015 Harrison Fields Suite 162\nSheppardfort, FL 39092","","","","","","w5wkltds","3ougge","opyep1aoj","11","False"
"","","","","","","dd8z28","37","fulfilled","11704 Andrew Villages Apt. 035\nJamesfurt, OR 49817-0470","","","","","","m0vig74t","6p7c0x","opyep1aoj","42","False"
"","","","","","","0b6r24","30","fulfilled","11704 Andrew Villages Apt. 035\nJamesfurt, OR 49817-0470","","","","","","ao66pcnh","dd8z28","opyep1aoj","37","False"
"","","","","","","9eubwc","12","fulfilled","62515 Holly Court\nLopezton, AR 45419-4146","","","","","","h1zprjml","0b6r24","opyep1aoj","30","True"
"","","","","","","","","","","","","","","","0ltw4chk","0b6r24","opyep1aoj","30","False"
"","","","","","","","","","","","","","","","aoyfjmwf","9eubwc","opyep1aoj","12","False"
"False","kristaavery@lewis-baird.com","242.165.5396x07020","3wqhnieu6nbcis8x7h3j","180.223.72.88","73802 Aaron Field Apt. 622\nPort Lisa, MO 01167","g54w0y","16","fulfilled","1018 Johnny Vista Suite 429\nNorth Daniel, CO 58465-5970","qmskv64hj","False","card","JCB 15 digit","Vertex Bancorp","j8eo5x52","g54w0y","gcg213ko9","16","True"
"","","","","","","","","","","m63wgq0ru","False","card","JCB 16 digit","Grand Credit Corporation","","","","",""
"","","","","","","","","","","gcg213ko9","True","bitcoin","Discover","Bulwark Trust Corp.","","","","",""
"False","dana23@lawrence.net","+78(3)5889318722","1c9wdri783k7ts0a6ix0","168.52.139.112","USNV Bennett\nFPO AE 82607-5790","","","","","yte47y3ea","False","card","Discover","Her Majesty Trust","","","","",""
"True","cathy42@gibson.com","754.248.6239x43965","c3r2qzqwc9anp6utob7n","7493:ab04:47ff:3a14:67d6:a128:a5b6:1500","046 Carson Crescent\nSouth Jacksonview, NV 22839-2652","d5r0n3","14","fulfilled","0378 Sanders View Suite 401\nWest Joanna, NC 12504","rz1xfmc67","False","card","Mastercard","His Majesty Bank Corp.","h469bpo6","d5r0n3","d1nvhtt2q","14","False"
"","","","","","","8lc2cq","23","fulfilled","046 Carson Crescent\nSouth Jacksonview, NV 22839-2652","btwtyk6re","False","card","VISA 16 digit","Her Majesty Trust","vj05ozm5","8lc2cq","d1nvhtt2q","23","False"
"","","","","","","ssqc0h","50","fulfilled","913 Rivas Island\nHallburgh, GU 81505-6573","6x2ihtlnz","True","card","JCB 15 digit","Fountain Financial Inc.","aziryp5p","ssqc0h","rz1xfmc67","50","False"
"","","","","","","","","","","4mx9wdfco","False","card","VISA 13 digit","Fountain Financial Inc.","","","","",""
"","","","","","","","","","","atp6ysubt","False","card","Voyager","Rose Bancshares","","","","",""
"","","","","","","","","","","t70zwkr0y","False","card","VISA 13 digit","Vertex Bancorp","","","","",""
"","","","","","","","","","","4th9w6eb5","False","card","Diners Club / Carte Blanche","Solace Banks","","","","",""
"","","","","","","","","","","44twzasjs","True","card","VISA 13 digit","Citizens First Banks","","","","",""
"","","","","","","","","","","l5dwzd2cn","False","paypal","Diners Club / Carte Blanche","His Majesty Bank Corp.","","","","",""
"","","","","","","","","","","0sst12ovh","False","apple pay","VISA 13 digit","Rose Bancshares","","","","",""
"","","","","","","","","","","akor6c4n7","False","paypal","VISA 16 digit","Vertex Bancorp","","","","",""
"","","","","","","","","","","4dbxeg5ji","False","card","Maestro","Bastion Banks","","","","",""
"","","","","","","","","","","o1kkqrwq6","False","card","Discover","Her Majesty Trust","","","","",""
"","","","","","","","","","","lvnneyxfx","True","bitcoin","JCB 16 digit","Bastion Banks","","","","",""
"","","","","","","","","","","d1nvhtt2q","False","card","Diners Club / Carte Blanche","Bulwark Trust Corp.","","","","",""
